,iteration,visit,item_id_list,visitor_id,reward,total_reward,fraction_relevant,percentage_overlap_rating,percentage_overlap_like
0,0,0,[257 174 245   7 127],305,2,2,2.0,20.0,0.0
1,0,1,[204 121 289 435 176],201,3,5,2.5,0.0,0.0
2,0,2,[ 95  69  11 405 403],886,3,8,2.6666666666666665,0.0,0.0
3,0,3,[ 69 678 175 258 118],606,4,12,3.0,0.0,20.0
4,0,4,[258 175  95 118 176],514,4,16,3.2,0.0,20.0
5,0,5,[196 100 127  56  95],222,5,21,3.5,20.0,20.0
6,0,6,[ 79 475 144 176 435],561,1,22,3.142857142857143,0.0,0.0
7,0,7,[258 196  95 100   7],178,5,27,3.375,0.0,40.0
8,0,8,[302 183 161 174  11],425,1,28,3.111111111111111,0.0,0.0
9,0,9,[258 204 196  95 100],286,3,31,3.1,0.0,40.0
10,0,10,[258 196  95   7  56],327,1,32,2.909090909090909,0.0,20.0
11,0,11,[196 127 403 302 176],363,4,36,3.0,20.0,0.0
12,0,12,[196 127 302 175 176],293,4,40,3.076923076923077,20.0,0.0
13,0,13,[ 88 180   9 135 268],682,3,43,3.0714285714285716,0.0,0.0
14,0,14,[200 127 235  98 228],268,4,47,3.1333333333333333,20.0,0.0
15,0,15,[135 176 196 200 268],305,2,49,3.0625,0.0,0.0
16,0,16,[ 97 121 603  98 385],660,2,51,3.0,0.0,0.0
17,0,17,[222 176  70 405  12],497,3,54,3.0,20.0,0.0
18,0,18,[ 88  12 117 597 191],896,3,57,3.0,20.0,0.0
19,0,19,[228 181  25  69 153],933,2,59,2.95,0.0,20.0
20,0,20,[405  70  82  11 204],566,3,62,2.9523809523809526,0.0,0.0
21,0,21,[302 176 196  82  70],222,3,65,2.9545454545454546,0.0,0.0
22,0,22,[118 186  96 100  22],497,5,70,3.0434782608695654,0.0,20.0
23,0,23,[191 597 196  22 186],393,2,72,3.0,0.0,0.0
24,0,24,[ 98 196  22  96 603],592,5,77,3.08,0.0,0.0
25,0,25,[204 181 153 403 196],307,2,79,3.0384615384615383,0.0,20.0
26,0,26,[ 98  22  96 603  82],468,5,84,3.111111111111111,0.0,0.0
27,0,27,[ 56   7 546  69  82],757,3,87,3.107142857142857,0.0,0.0
28,0,28,[ 98  22  96 603  82],913,4,91,3.1379310344827585,0.0,0.0
29,0,29,[435 275 257 403 202],327,3,94,3.1333333333333333,0.0,0.0
30,0,30,[265 273 111  88 318],94,4,98,3.161290322580645,0.0,0.0
31,0,31,[185  22 275 357  82],201,4,102,3.1875,0.0,0.0
32,0,32,[294 423  15 195  12],293,1,103,3.121212121212121,20.0,0.0
33,0,33,[ 22 483 235  79 405],727,3,106,3.1176470588235294,20.0,0.0
34,0,34,[187  25 265  97 168],293,2,108,3.085714285714286,0.0,0.0
35,0,35,[185 275  98 202 483],498,2,110,3.0555555555555554,20.0,0.0
36,0,36,[127 174 405 568 195],592,5,115,3.108108108108108,20.0,0.0
37,0,37,[318 168 568 176 228],551,5,120,3.1578947368421053,0.0,0.0
